company_code	company_name	level	country	city	founded_year	annual_revenue	employees
C131	Gould, Marshall and Scott	3	India	Bangalore	2021	233098	237
C132	Jackson-Lawson	3	India	Chennai	2011	306083	306
C133	Higgins, Strickland and Martin	3	UK	Bristol	1990	250365	549
C134	Rodriguez-Johnson	3	Japan	Osaka	2005	116238	757
C135	Johnston-Odonnell	3	France	Montpellier	2005	157056	727
C136	Sanders-Espinoza	3	Canada	Quebec City	2018	157919	831
C137	Vargas Ltd	3	USA	Los Angeles	2008	196099	246
C138	Garcia LLC	3	France	Toulouse	2009	252788	699
C139	Burke, Martinez and Riggs	3	India	Pune	2023	59213	372
C140	Reed Group	3	France	Bordeaux	2011	126985	380
C141	Wood, Hunter and Peterson	3	Canada	Ottawa	2009	269045	277
C142	Short-Garcia	3	Japan	Osaka	2002	126644	343
C143	Reid-Poole	3	China	Nanjing	2001	263588	216
C144	Hernandez, Thompson and Boyd	3	Japan	Kyoto	2007	199452	761
C145	Nelson, Morton and Medina	3	UK	Manchester	2002	216902	323
C146	Marshall-Petersen	3	Japan	Fukuoka	2001	516085	329
C147	Adams, Christian and Rivas	3	USA	Dallas	1998	252573	300
C148	Ramirez Group	3	USA	New York	2008	78187	734
C149	Christensen PLC	3	Germany	Dortmund	1996	275836	913
C150	Barnett, Rogers and Snyder	3	USA	San Jose	2008	254514	500
C151	White-Lewis	3	Canada	Quebec City	2011	293358	208
C152	Peterson-Beard	3	USA	Phoenix	2020	121964	136
C153	Beard, Peters and Black	3	China	Tianjin	2021	224613	95
C154	Miller Ltd	3	USA	Chicago	1999	315883	850
C155	Freeman-Chang	3	UK	Manchester	2005	124115	141
C156	Alvarez, Joseph and West	3	France	Lille	2004	97434	814
C157	Davis and Sons	3	France	Montpellier	2018	237786	324
C158	Holt-Torres	3	France	Nice	1993	165203	644
C159	Wood, Tran and Cooper	3	China	Shenzhen	2003	207322	290
C160	Pierce, Bell and Chavez	3	China	Guangzhou	2005	156304	197
C161	King-Martinez	3	China	Guangzhou	1990	157060	438
C162	Stewart Ltd	3	Canada	Halifax	2020	198967	318
C163	Tapia, Vaughn and Lee	3	USA	Houston	2008	218857	743
C164	Washington, Hardy and Bray	3	UK	Edinburgh	1994	222801	723
C165	Carlson, Hooper and Wall	3	Japan	Sapporo	2002	230579	455
C166	Perez-White	3	China	Nanjing	2004	169817	683
C167	Erickson and Sons	3	Germany	Cologne	1999	91125	93
C168	Williams-Brown	3	USA	Chicago	2009	185163	629
C169	Terry-Martinez	3	UK	Edinburgh	1997	75998	499
C170	Garcia-Smith	3	UK	Sheffield	2007	111832	532
C171	Harrison-Alexander	3	Canada	Quebec City	1995	53240	632
C172	Sheppard LLC	3	USA	San Antonio	2010	73016	638
C173	Wilson-Jones	3	UK	London	1995	310947	254
C174	Jones-Soto	3	USA	Phoenix	1992	223032	801
C175	Hernandez PLC	3	Germany	Dortmund	2023	148596	687
C176	Miller-Wright	3	Canada	Ottawa	2001	37570	619
C177	Duran, Obrien and Gibbs	3	France	Montpellier	1995	153402	501
C178	Rowe Group	3	India	Ahmedabad	2011	122559	348
C179	Kerr-Evans	3	China	Guangzhou	2011	332640	441
C180	Branch, Torres and Oliver	3	Canada	Ottawa	2015	182051	853
C181	Choi, Garcia and Farmer	3	USA	San Diego	1995	259830	342
C182	Clark, Guerrero and Moore	3	UK	Leeds	1997	225496	811
C183	Arnold and Sons	3	France	Bordeaux	1990	216856	693
C184	Ortiz Ltd	3	Canada	Winnipeg	1993	195954	212
C185	Harrison, Johnson and Roberts	3	India	Jaipur	2021	121423	660
C186	Warner-Gibson	3	Canada	Toronto	2003	190045	293
C187	Hall, Baker and Moody	3	Germany	Cologne	2018	184683	921
C188	Guerrero, Peck and Coleman	3	Canada	Montreal	1991	138000	665
C189	Walker, Hernandez and Baker	3	Japan	Yokohama	2009	179901	584
C190	Jones and Sons	3	USA	Dallas	2016	281410	115
C191	Larson-Holloway	3	Japan	Osaka	2019	185567	989
C192	Gonzales-Harrison	3	China	Guangzhou	2021	112814	975
C193	Lyons-Bender	3	UK	Bristol	2007	194179	445
C194	Fernandez, Kim and George	3	Canada	Quebec City	2005	118689	487
C195	Navarro-Munoz	3	Germany	Düsseldorf	2002	299338	963
C196	Davis Ltd	3	Germany	Munich	2007	164546	811
C197	Matthews, Smith and Hubbard	3	France	Nantes	2022	194162	293
C198	Johnston-Hines	3	USA	Phoenix	2009	57133	877
C199	Ruiz Ltd	3	Canada	Vancouver	2018	147010	571
C200	Moon-White	3	Canada	Edmonton	2011	266855	585
C201	Graham, Olsen and Costa	3	France	Montpellier	2010	90338	910
C202	Bailey-Cook	3	Japan	Nagoya	2014	159415	259
C203	Garcia, Martin and Jenkins	3	France	Paris	2010	138452	782
C204	Roberts-Landry	3	Canada	Winnipeg	2014	299870	699
C205	Johnson, Miller and King	3	Germany	Dortmund	1992	193196	149
C206	Cordova Group	3	India	Delhi	2018	145146	122
C207	Bryan, Smith and Booth	3	Canada	Toronto	1999	353481	439
C208	Gutierrez-Lopez	3	Germany	Munich	2020	125694	820
C209	Dean-Jimenez	3	UK	Leeds	2015	284353	685
C210	Wolf-Harris	3	China	Chongqing	2014	162136	997
C211	Anderson, Roberts and Gilmore	3	India	Pune	1992	87020	652
C212	Martinez-Dudley	3	China	Shenzhen	2008	286755	252
C213	Lloyd, Mckinney and Collins	3	China	Tianjin	1996	188822	798
C214	Tran Inc	3	China	Wuhan	2000	285776	730
C215	Gay Inc	3	UK	London	1992	227688	352
C216	Valentine-Holland	3	USA	Phoenix	2012	131396	403
C217	Jimenez Ltd	3	France	Lyon	2005	295964	563
C218	Hicks-Hill	3	France	Lille	2001	126308	194
C219	Baird-Sanchez	3	Germany	Munich	2014	233190	654
C220	Thomas, Lee and Greene	3	Japan	Kyoto	1999	194448	257
C221	Suarez, Shields and Hill	3	Canada	Ottawa	2019	270702	281
C222	Morgan-French	3	USA	San Diego	2008	244440	713
C223	Hoover-Campbell	3	Germany	Munich	2018	291581	987
C224	Monroe-Carpenter	3	India	Jaipur	2009	149926	674
C225	Burns, Hernandez and Ryan	3	France	Nice	2019	125177	885
C226	Cook-Hines	3	UK	Liverpool	2014	133358	893
C227	Gibson-Morris	3	Canada	Montreal	2005	183006	410
C228	Pollard and Sons	3	India	Jaipur	2008	108626	736
C229	Reyes, Chase and Jenkins	3	UK	London	2015	370353	301
C230	Garner-Thornton	3	USA	San Jose	1993	155380	952
C231	Hughes-Alvarado	3	Canada	Ottawa	2004	101732	641
C232	Pollard, Simpson and Johnson	3	India	Hyderabad	2002	188068	655
C233	Sanford, Rivera and Garcia	3	UK	Birmingham	1996	327515	945
C234	Garcia-Lozano	3	USA	Phoenix	2018	184129	54
C235	Bowen Group	3	India	Bangalore	1995	114826	951
C236	Booker, Jones and Harrington	3	UK	Leeds	2016	149814	199
C237	Morgan-Schwartz	3	Japan	Yokohama	2013	213982	563
C238	Miller, Murphy and Craig	3	UK	Birmingham	2006	356335	955
C239	James, Stewart and Higgins	3	Canada	Ottawa	2011	389673	843
C240	Brennan-Johnson	3	China	Wuhan	1994	134439	164
C241	Young Ltd	3	Japan	Kobe	2013	256133	112
C242	Bright-Francis	3	France	Paris	2006	186405	569
C243	Good-Hodges	3	China	Wuhan	2013	71263	708
C244	Brennan, Wallace and Benson	3	UK	Cardiff	2014	137688	862
C245	Williams Inc	3	India	Delhi	2004	125301	502
C246	Howard-Jordan	3	USA	San Jose	2010	181532	957
C247	Schmidt PLC	3	Japan	Osaka	2019	81246	951
C248	Sparks, Jackson and Miller	3	UK	Sheffield	1997	142923	163
C249	Harvey-Allen	3	USA	New York	2009	226203	524
C250	Thomas, Murray and King	3	China	Shanghai	2005	440883	928
C0302	Estrada-Nolan	4	Germany	Düsseldorf	2014	30690	194
C0303	Santana-Byrd	4	France	Lille	2023	95680	377
C0304	Jones LLC	4	Germany	Düsseldorf	2020	102619	55
C0305	Evans, Hayden and Vaughn	4	Canada	Halifax	2013	81270	485
C0306	Bruce-Gonzalez	4	UK	London	2022	36036	194
C0307	Castaneda-Rodriguez	4	Japan	Kyoto	2014	126623	491
C0308	Armstrong-Andrews	4	Japan	Fukuoka	2003	38839	356
C0309	Phillips, Spence and Barrett	4	India	Surat	2020	32752	188
C0310	Smith-Grimes	4	USA	San Antonio	2008	58372	102
C0311	Beltran, Lozano and Mcgee	4	China	Wuhan	2002	41686	344
C0312	Parsons-Hall	4	Japan	Saitama	2000	30915	30
C0313	Robinson-Lee	4	India	Hyderabad	2004	30260	407
C0314	Byrd-Le	4	Japan	Osaka	2017	53816	111
C0315	Becker, Taylor and Davis	4	Japan	Nagoya	2010	74017	401
C0316	Lucas, Parker and Alexander	4	Germany	Leipzig	2000	40591	146
C0317	Diaz, Anderson and Browning	4	Germany	Hamburg	2017	45631	133
C0318	Burgess-Thompson	4	Germany	Munich	2021	26923	448
C0319	Buchanan LLC	4	USA	Chicago	2000	33095	188
C0320	Shaw, Nelson and Martin	4	Japan	Saitama	2010	24268	13
C0321	Coffey-Phillips	4	Germany	Cologne	2001	62319	69
C0322	Brock-Mcdonald	4	France	Bordeaux	2003	119013	386
C0323	Taylor and Sons	4	China	Wuhan	2014	92263	403
C0324	Ramsey, Whitney and Coffey	4	India	Surat	2018	128342	60
C0325	Diaz, Gibbs and Smith	4	Canada	Hamilton	2007	63825	489
C0326	Martinez, Richardson and Curry	4	USA	Dallas	2009	42734	239
C0327	Richards-Carson	4	USA	New York	2015	106428	438
C0328	Rodriguez-Hall	4	France	Strasbourg	2021	60252	60
C0329	Harvey PLC	4	Canada	Quebec City	2002	62119	465
C0330	Herman-Walker	4	China	Chongqing	2019	88225	80
C0331	Reid Group	4	China	Guangzhou	2008	53754	324
C0332	Turner, Ortiz and Taylor	4	India	Ahmedabad	2019	53458	276
C0333	Torres Group	4	UK	Edinburgh	2016	71555	314
C0334	Davis PLC	4	France	Marseille	2022	62142	63
C0335	Price LLC	4	Japan	Kobe	2014	95889	459
C0336	Avery, Horton and Fernandez	4	Japan	Kobe	2010	61518	428
C0337	Newton, Moore and Perry	4	Canada	Winnipeg	2013	90692	378
C0338	Bass PLC	4	China	Chongqing	2013	40875	165
C0339	Crosby-Ramirez	4	UK	Leeds	2004	35445	356
C0340	Wood, Ramos and Sampson	4	Canada	Montreal	2002	87044	430
C0341	Garcia-Jennings	4	China	Shanghai	2013	50318	54
C0342	Winters, Newman and Brown	4	India	Bangalore	2017	37992	35
C0343	Lopez-Martinez	4	India	Delhi	2013	70454	186
C0344	Davis-Lewis	4	France	Paris	2009	94658	312
C0345	Harper, Smith and Buchanan	4	UK	Leeds	2003	131170	300
C0346	Zhang PLC	4	Japan	Yokohama	2021	46310	251
C0347	Jones PLC	4	Japan	Osaka	2011	114452	437
C0348	Willis and Sons	4	India	Delhi	2008	72157	298
C0349	Schroeder-Kramer	4	Japan	Kobe	2017	51250	397
C0350	Smith, Garrison and Thomas	4	USA	San Jose	2021	79408	429
C0351	Fernandez and Sons	4	UK	London	2005	163003	144
C0352	Guerrero Inc	4	UK	Leeds	2011	63063	8
C0353	Smith and Sons	4	Germany	Hamburg	2018	39799	341
C0354	Morris, Thompson and Williams	4	France	Marseille	2004	81252	384
C0355	Fisher, Wilson and Brown	4	USA	Los Angeles	2023	133344	276
C0356	Strickland-Palmer	4	Japan	Kobe	2013	105020	237
C0357	Hayes and Sons	4	India	Bangalore	2011	38329	164
C0358	Williams, Logan and Camacho	4	India	Jaipur	2019	36223	48
C0359	Turner, Schneider and Johnson	4	USA	Chicago	2005	45076	391
C0360	Boone-Simmons	4	USA	Los Angeles	2008	51866	231
C0361	Henry Group	4	France	Montpellier	2019	40979	231
C0362	Lam LLC	4	France	Nice	2006	94492	391
C0363	Hernandez, Martinez and Weber	4	China	Chongqing	2013	132178	61
C0364	Kelley, Nguyen and Vang	4	UK	Cardiff	2015	112293	274
C0365	Phillips, Wagner and Jordan	4	UK	London	2007	67635	207
C0366	Wilson, Pena and Rich	4	USA	New York	2006	82447	159
C0367	Le, Lewis and Hayes	4	Japan	Yokohama	2008	27456	153
C0368	Gutierrez Group	4	India	Delhi	2000	41313	259
C0369	Perry-Davis	4	France	Lyon	2004	40814	199
C0370	Edwards-Scott	4	Japan	Kawasaki	2017	55331	431
C0371	Mcdaniel Group	4	India	Delhi	2012	28999	446
C0372	Davis Inc	4	USA	San Antonio	2000	60830	240
C0373	Reynolds Ltd	4	China	Chongqing	2018	43716	224
C0374	Watson, Anderson and Brown	4	France	Strasbourg	2009	33895	63
C0375	Hoffman, Santiago and Jenkins	4	France	Paris	2010	29284	92
C0376	Pugh, Henderson and Moon	4	Canada	Edmonton	2002	46393	228
C0377	Schmitt PLC	4	China	Shenzhen	2013	40530	306
C0378	Bell-Lane	4	France	Bordeaux	2002	47153	207
C0379	Moore Group	4	UK	Leeds	2007	54187	175
C0380	Boone LLC	4	Germany	Munich	2016	41560	329
C0381	Richardson, Farmer and Andrews	4	China	Nanjing	2016	44077	104
C0382	Bruce-Villegas	4	India	Kolkata	2023	58636	495
C0383	Austin, Day and Johnson	4	Germany	Frankfurt	2003	31519	79
C0384	Gallegos, Adams and White	4	UK	Liverpool	2005	67731	313
C0385	Farmer, Dorsey and Bell	4	Germany	Munich	2005	40976	492
C0386	Kane PLC	4	Canada	Quebec City	2018	48855	394
C0387	Morales, Thomas and Schultz	4	Canada	Halifax	2020	36237	330
C0388	Davis PLC	4	India	Kolkata	2004	80414	230
C0389	Bennett Group	4	China	Wuhan	2014	81552	328
C0390	Moore-Collins	4	UK	Glasgow	2018	74045	33
C0391	Frank-Bradley	4	India	Surat	2002	87041	163
C0392	Ware and Sons	4	Canada	Quebec City	2001	108693	34
C0393	Webster Inc	4	India	Chennai	2002	48460	335
C0394	Miller, Ramos and Coleman	4	China	Hangzhou	2019	39337	264
C0395	Ramos, Nelson and Fischer	4	France	Montpellier	2018	44422	288
C0396	Reed Inc	4	USA	San Diego	2018	104253	338
C0397	Gregory-Watkins	4	Japan	Fukuoka	2019	68856	248
C0398	Estrada, Williams and Foster	4	Germany	Berlin	2014	125143	57
C0399	Brown, Harris and Dougherty	4	India	Delhi	2016	116308	335
C0400	Duran LLC	4	Germany	Berlin	2007	49670	367
C0401	Wilson-Jimenez	4	Canada	Quebec City	2016	50475	272
C0402	Thompson-James	4	Germany	Stuttgart	2011	100191	474
C0403	Hall, Hansen and Barnett	4	UK	Sheffield	2013	104955	401
C0404	Jones-Hensley	4	India	Jaipur	2001	189662	409
C0405	Graham Group	4	India	Delhi	2010	44410	53
C0406	Atkins PLC	4	France	Nice	2008	39517	375
C0407	Berry-Mckinney	4	Germany	Stuttgart	2002	62690	303
C0408	Roberts-Sullivan	4	Germany	Stuttgart	2009	60384	500
C0409	Jackson-Meza	4	France	Lyon	2019	74165	367
C0410	Collier-Gillespie	4	China	Chengdu	2017	70113	197
C0411	Kim Inc	4	India	Bangalore	2021	29567	364
C0412	Graham Group	4	China	Tianjin	2016	116354	190
C0413	Miller, Harrell and Reese	4	USA	Philadelphia	2009	122027	97
C0414	Cook and Sons	4	Japan	Fukuoka	2015	49875	103
C0415	Dixon Inc	4	Japan	Yokohama	2004	56189	44
C0416	Hicks, Bullock and Bailey	4	UK	Manchester	2016	40903	399
C0417	Mullen, Brewer and Hernandez	4	USA	Philadelphia	2019	117936	72
C0418	Thomas and Sons	4	France	Lyon	2005	65526	97
C0419	Morrison Ltd	4	Germany	Dortmund	2001	114938	215
C0420	Thompson Ltd	4	India	Hyderabad	2014	61710	317
C0421	Marshall-Elliott	4	UK	Edinburgh	2007	50118	278
C0422	Cole, Glass and Cunningham	4	Japan	Sapporo	2015	75955	467
C0423	Downs, Morris and Maddox	4	Japan	Fukuoka	2021	54630	489
C0424	Hernandez-Jones	4	Canada	Quebec City	2009	69840	403
C0425	Welch-Hogan	4	France	Bordeaux	2016	54119	219
C0426	Brown, Romero and Collins	4	Germany	Frankfurt	2019	48225	75
C0427	Johnson-Wood	4	UK	London	2020	49212	251
C0428	Jones-Lin	4	India	Surat	2003	19143	369
C0429	Gilbert PLC	4	China	Chengdu	2002	67955	395
C0430	Ford-Spencer	4	Germany	Cologne	2014	71121	468
C0431	Huang, Cole and Pacheco	4	Germany	Düsseldorf	2002	65316	489
C0432	Lopez, Jacobs and Mason	4	Japan	Kyoto	2011	119283	481
C0433	Hayes LLC	4	USA	San Antonio	2001	64373	207
C0434	Miller, Lucas and Williams	4	India	Hyderabad	2012	42544	46
C0435	Kim, Gonzales and Mills	4	India	Hyderabad	2000	145094	168
C0436	Cox LLC	4	China	Chongqing	2004	63646	75
C0437	Ortiz-Morgan	4	USA	Phoenix	2015	131140	361
C0438	Williams, Mccoy and Cook	4	Germany	Dortmund	2014	80786	320
C0439	Davis-Gregory	4	USA	Los Angeles	2000	58009	136
C0440	King-York	4	Japan	Yokohama	2017	98981	486
C0441	Marks, Cook and Aguilar	4	France	Marseille	2009	105669	126
C0442	Rangel LLC	4	UK	Manchester	2001	84742	127
C0443	Hale, Myers and Larson	4	France	Lille	2014	64052	37
C0444	Collins Group	4	China	Wuhan	2019	55249	279
C0445	Conner, Li and Santiago	4	USA	Dallas	2018	26907	128
C0446	Osborn, Gaines and Davis	4	Germany	Cologne	2013	75658	5
C0447	Henderson, Cox and Cox	4	India	Hyderabad	2018	53044	218
C0448	Bean LLC	4	Germany	Munich	2016	134063	189
C0449	Lee-Cooke	4	China	Nanjing	2017	51597	264
C0450	Jones Inc	4	USA	San Antonio	2015	90595	27
C0451	Wise, Conley and Stephenson	4	France	Nantes	2008	62257	387
C0452	Stanley PLC	4	USA	Philadelphia	2002	94459	181
C0453	Harper and Sons	4	Japan	Osaka	2018	46564	381
C0454	White Ltd	4	India	Bangalore	2001	33953	185
C0455	Lamb, Martin and Kim	4	India	Bangalore	2021	34897	242
C0456	Diaz-Ball	4	Canada	Vancouver	2004	68640	37
C0457	Bishop-Goodwin	4	Canada	Toronto	2009	44738	108
C0458	Young-Allen	4	USA	Houston	2001	91714	166
C0459	Mckee-Lee	4	UK	Bristol	2012	85219	422
C0460	Valentine, Joyce and Murray	4	Canada	Ottawa	2001	36924	390
C0461	Strickland-Shaw	4	Japan	Sapporo	2011	140358	446
C0462	Burch-Montoya	4	USA	Philadelphia	2008	40303	68
C0463	Taylor, Wright and Davidson	4	India	Ahmedabad	2012	71994	385
C0464	Spencer-Garcia	4	Canada	Winnipeg	2010	60017	100
C0465	Rosales, Mitchell and Hines	4	Canada	Quebec City	2011	33605	478
C0466	Cole-Palmer	4	UK	Manchester	2023	132627	222
C0467	Davis-Lozano	4	China	Tianjin	2019	54960	426
C0468	Wilkerson-Arias	4	Germany	Essen	2009	32225	169
C0469	Brown-Shaw	4	China	Shanghai	2010	46059	343
C0470	Hughes Inc	4	UK	Glasgow	2014	34766	313
C0471	Walker-Flores	4	France	Lyon	2022	50124	232
C0472	Combs Ltd	4	India	Pune	2001	50555	377
C0473	Moody-Taylor	4	India	Jaipur	2013	24725	145
C0474	Lowery-Kennedy	4	USA	Los Angeles	2021	18488	331
C0475	Blake Group	4	France	Nantes	2016	67669	415
C0476	Gilbert-Bullock	4	Germany	Berlin	2004	57757	439
C0477	Scott and Sons	4	Canada	Toronto	2004	29259	39
C0478	Bentley, Lynch and Henderson	4	Japan	Fukuoka	2011	29056	201
C0479	Young-Martinez	4	USA	San Jose	2004	50318	352
C0480	Barnes PLC	4	Canada	Edmonton	2011	33648	232
